,1231
2016-02-01 00:00:00,214.0
2016-02-01 01:00:00,146.0
2016-02-01 02:00:00,105.0
2016-02-01 03:00:00,61.0
2016-02-01 04:00:00,66.0
2016-02-01 05:00:00,92.0
2016-02-01 06:00:00,275.0
2016-02-01 07:00:00,487.0
2016-02-01 08:00:00,835.0
2016-02-01 09:00:00,931.0
2016-02-01 10:00:00,733.0
2016-02-01 11:00:00,801.0
2016-02-01 12:00:00,833.0
2016-02-01 13:00:00,907.0
2016-02-01 14:00:00,934.0
2016-02-01 15:00:00,932.0
2016-02-01 16:00:00,826.0
2016-02-01 17:00:00,886.0
2016-02-01 18:00:00,1029.0
2016-02-01 19:00:00,1343.0
2016-02-01 20:00:00,1279.0
2016-02-01 21:00:00,1105.0
2016-02-01 22:00:00,953.0
2016-02-01 23:00:00,573.0
2016-02-02 00:00:00,375.0
2016-02-02 01:00:00,165.0
2016-02-02 02:00:00,109.0
2016-02-02 03:00:00,65.0
2016-02-02 04:00:00,74.0
2016-02-02 05:00:00,121.0
2016-02-02 06:00:00,255.0
2016-02-02 07:00:00,560.0
2016-02-02 08:00:00,885.0
2016-02-02 09:00:00,957.0
2016-02-02 10:00:00,907.0
2016-02-02 11:00:00,960.0
2016-02-02 12:00:00,985.0
2016-02-02 13:00:00,1039.0
2016-02-02 14:00:00,995.0
2016-02-02 15:00:00,985.0
2016-02-02 16:00:00,807.0
2016-02-02 17:00:00,897.0
2016-02-02 18:00:00,1131.0
2016-02-02 19:00:00,1295.0
2016-02-02 20:00:00,1433.0
2016-02-02 21:00:00,1298.0
2016-02-02 22:00:00,1127.0
2016-02-02 23:00:00,710.0
2016-02-03 00:00:00,477.0
2016-02-03 01:00:00,225.0
2016-02-03 02:00:00,144.0
2016-02-03 03:00:00,83.0
2016-02-03 04:00:00,91.0
2016-02-03 05:00:00,136.0
2016-02-03 06:00:00,283.0
2016-02-03 07:00:00,638.0
2016-02-03 08:00:00,911.0
2016-02-03 09:00:00,1091.0
2016-02-03 10:00:00,938.0
2016-02-03 11:00:00,1021.0
2016-02-03 12:00:00,1194.0
2016-02-03 13:00:00,1278.0
2016-02-03 14:00:00,1200.0
2016-02-03 15:00:00,900.0
2016-02-03 16:00:00,695.0
2016-02-03 17:00:00,758.0
2016-02-03 18:00:00,1006.0
2016-02-03 19:00:00,1191.0
2016-02-03 20:00:00,1371.0
2016-02-03 21:00:00,1267.0
2016-02-03 22:00:00,1059.0
2016-02-03 23:00:00,793.0
2016-02-04 00:00:00,439.0
2016-02-04 01:00:00,268.0
2016-02-04 02:00:00,145.0
2016-02-04 03:00:00,106.0
2016-02-04 04:00:00,110.0
2016-02-04 05:00:00,118.0
2016-02-04 06:00:00,264.0
2016-02-04 07:00:00,572.0
2016-02-04 08:00:00,936.0
2016-02-04 09:00:00,1156.0
2016-02-04 10:00:00,952.0
2016-02-04 11:00:00,997.0
2016-02-04 12:00:00,1057.0
2016-02-04 13:00:00,1071.0
2016-02-04 14:00:00,1107.0
2016-02-04 15:00:00,957.0
2016-02-04 16:00:00,738.0
2016-02-04 17:00:00,761.0
2016-02-04 18:00:00,1026.0
2016-02-04 19:00:00,1139.0
2016-02-04 20:00:00,1379.0
2016-02-04 21:00:00,1218.0
2016-02-04 22:00:00,1053.0
2016-02-04 23:00:00,993.0
2016-02-05 00:00:00,673.0
